Ticker,Nome,Setor,SubSetor,Segmento,Preco_Atual,Valor_Mercado,Volume,Qtd_Acoes,DY_Atual,P_L,P_VP,P_Receita,P_Ativo,P_Cap_Giro,P_Ativo_Circ_Liq,P_EBIT,P_EBITDA,EV_EBIT,EV_EBITDA,ROE,ROA,ROIC,Giro_Ativos,Margem_Bruta,Margem_EBITDA,Margem_EBIT,Margem_Liquida,Div_Liq_Ativos,Div_Liq_EBIT,Div_Liq_EBITDA,Liquidez_Corrente,Passivos_Ativos,PL_Ativos,CAGR_Receitas_5a,CAGR_Lucros_5a,Receita_Liquida,Lucro_Liquido,EBIT,Div_0A,Div_1A,Div_2A,Div_3A,Div_4A,Div_5A,Div_6A,Consistencia_5A,Score_CS,Classificacao_CS,Graham,GrahamBR,Bazin,Lynch,Agf,Graham_dif,GrahamBR_dif,Bazin_dif,Lynch_dif,Agf_dif,VPA,change,closingPrice,LPA,eps,high,lastYearHigh,lastYearLow,low,pe,priceOpen,priceToSalesRatio,volumeAvg
AALR3,Allianca Saude e Participacoes SA,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,3.3,972598755.0,64600.0,152359482.0,0.0,-0.37,-1.99,0.440078,0.28,-0.4,-0.39,-0.48,-0.58,-0.82,-0.98,-544.08,-77.21,-547.76,0.65,20.76,-75.7,-90.34,-118.94,0.0,-0.34,-0.4,0.28,1.14,-0.14,4.43,0.0,2210059932.5574102,-2628645283.783784,-2026247406.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0873,0.0,0,Pessimo,18.34,14.98,0.0,-9.01,0.24,455.9,353.89,-100.0,-373.03,-92.65,-1.66,0.0,3.3,-9.01,-8.93,3.3,6.82,2.36,3.16,0.0,3.3,0.44,49827
ABCB4,Banco ABC Brasil SA,Financeiro e Outros,Intermediários Financeiros,Bancos,24.59,3289325632.0,665200.0,129510368.0,10.98,6.28,0.88,0.8184574752049049,0.09,-0.1,-2.0,5.12,0.0,5.12,0.0,14.05,1.5,0.0,0.12,17.07,0.0,15.46,12.6,0.0,0.0,0.0,0.19,0.89,0.11,28.96,24.52,4018932848.2539682,506385538.88,642446412.5,2.7,1.946,1.526,1.206,1.279,1.0022,0.6497,5.0,1,Pessimo,49.5,40.42,45.0,4.87,21.14,101.3,64.36,83.0,-80.2,-14.05,27.85,0.04,24.58,3.91,4.39,24.88,27.17,18.72,24.51,5.6,24.85,0.79,515457
ABEV3,Ambev SA,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,15.82,244967316474.0,25579200.0,15484664889.0,7.49,15.0,2.76,2.773772404052444,1.76,-2.49,285.83,10.1,6.94,9.46,6.5,18.4,11.76,21.55,0.64,51.9,39.8,27.34,18.41,-0.17,-0.64,-0.44,1.02,0.36,0.64,8.61,7.38,88315579214.82889,16258898133.45,24254189749.90099,0.269,1.2679,0.2448,0.7302,0.7623,0.6803,0.4137,5.0,1,Pessimo,11.6,9.47,19.75,1.13,11.39,-26.65,-40.11,24.83,-92.87,-28.02,5.7,0.0,15.82,1.05,1.04,16.03,17.0,11.09,15.74,15.26,15.95,2.76,31747403
AERI3,Aeris ndstr  Cmrc d qpmnts pr Grc d nrg,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,2.07,128588789.0,10800.0,62120196.0,0.0,-0.14,-0.13,0.24446800000000005,0.08,-0.11,-0.34,-0.26,-0.48,-4.22,-7.73,-93.29,-59.65,-66.41,0.34,-5.34,-50.55,-92.65,-174.62,0.0,-3.95,-7.25,0.52,1.64,-0.64,-19.51,0.0,525994359.1799335,-918491349.9999999,-494572265.38461536,0.0,0.0,0.0,0.0,0.414,0.0,0.0,1.0,0,Pessimo,72.93,59.55,0.0,-14.85,1.15,3423.35,2776.8,-100.0,-817.39,-44.44,-15.92,0.0,2.07,-14.85,-15.04,2.08,4.3,2.0,2.06,0.0,2.07,0.24,47610
AFLT3,Afluente Transmissao de Energia Eltrc SA,Utilidade Pública,Energia Elétrica,Energia Elétrica,7.39,466195850.0,100.0,63084700.0,7.04,13.07,1.91,7.2577566025893505,1.26,-2.0,7.46,10.46,0.0,9.82,0.0,14.63,9.66,13.09,0.17,79.2,0.0,69.95,55.98,-0.12,-0.64,0.0,1.85,0.34,0.66,6.47,13.77,64234153.269024655,35958279.0,44569392.92543021,0.5199,0.4292,0.5824,0.2626,0.2362,0.6301,0.7228,5.0,1,Pessimo,7.04,5.74,8.67,0.65,7.95,-4.79,-22.26,17.33,-91.22,7.63,3.86,0.0,7.39,0.57,0.56,7.39,8.16,5.96,7.39,13.14,7.39,7.32,377
AGRO3,BrasilAgro - Companhia Brslr d Prprd Agr,Consumo não Cíclico,Agropecuária,Agricultura,19.27,1978709165.0,303500.0,102683444.0,3.91,-133.82,0.97,2.060828,0.52,-0.76,5.13,-117.3,10.4,-197.32,17.49,-0.72,-0.39,-3.64,0.25,12.72,19.85,-1.76,-1.54,0.66,-80.02,7.09,1.47,0.47,0.53,10.7,0.0,960152504.2361615,-14786348.565236887,-16868790.835464623,0.0,0.7529,1.556,3.2124,5.255,2.6212,0.7097,5.0,1,Pessimo,0.0,0.0,12.56,-0.14,39.19,-100.0,-100.0,-34.83,-100.73,103.36,19.88,0.63,19.15,-0.14,-0.16,19.61,22.75,17.86,18.82,0.0,19.16,2.06,111943
AGXY3,Agrogalaxy Participacoes SA em Recupera,Consumo não Cíclico,Agropecuária,Agricultura,1.33,26364856.0,47400.0,18969571.0,0.0,0.02,-0.14,0.01573321742996393,0.01,-0.02,0.05,0.04,0.03,1.4,1.12,-661.54,55.38,83.66,0.79,-1.14,49.78,39.74,70.06,0.0,1.36,1.09,2.19,1.08,-0.08,24.29,123.15,1675744717.6562946,1174026749.19,659121400.0,0.0,0.0,0.0,0.0,2.518,0.0,0.0,1.0,0,Pessimo,0.0,0.0,0.0,138.11,6.99,-100.0,-100.0,-100.0,10284.03,425.9,-9.36,0.0,1.33,61.89,-58.12,1.37,6.07,1.27,1.27,0.0,1.34,0.02,27400
AHEB3,Sao Paulo Turismo SA,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,23.01,208480200.0,200.0,8407877.0,0.0,4.06,0.68,0.41790233110679237,0.36,-0.65,1.1,3.35,3.08,1.83,1.68,16.64,8.87,14.64,0.9,17.63,13.07,12.02,9.91,-0.32,-1.59,-1.46,3.83,0.47,0.53,21.7,0.0,498873024.82341063,49438316.76,62232895.522388056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,68.4,55.85,0.0,5.88,0.0,197.25,142.7,-100.0,-74.45,-100.0,35.36,-3.68,23.89,5.88,5.88,23.01,34.04,21.5,23.01,3.91,23.01,0.4,17
AHEB5,Sao Paulo Turismo Class Pref Shs Class A,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,58.0,208480200.0,0.0,45022.0,0.0,9.86,1.64,78.04343205453299,0.88,-1.57,2.67,8.13,7.48,1.83,1.68,16.64,8.87,14.64,0.9,17.63,13.07,12.02,9.91,-0.32,-1.59,-1.46,3.83,0.47,0.53,21.7,0.0,2671335.620585267,264729.36,25643321.03321033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,68.4,55.85,0.0,5.88,0.0,17.93,-3.71,-100.0,-89.86,-100.0,35.36,0.0,58.0,5.88,5.88,0.0,58.0,58.0,0.0,9.86,0.0,0.98,0
AHEB6,Sao Paulo Turismo Class Pref Shs Class B,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,55.0,208480200.0,0.0,90995.0,0.0,9.35,1.56,38.613895246543045,0.83,-1.49,2.54,7.71,7.09,1.83,1.68,16.64,8.87,14.64,0.9,17.63,13.07,12.02,9.91,-0.32,-1.59,-1.46,3.83,0.47,0.53,21.7,0.0,5399097.880928354,535050.6,27040233.46303502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,68.4,55.85,0.0,5.88,0.0,24.36,1.54,-100.0,-89.31,-100.0,35.36,0.0,55.0,5.88,5.88,0.0,55.0,55.0,0.0,9.35,0.0,0.93,0
